Label,true_cell,extcenterX,extcenterY,centerX,centerY,perimeter,area,ch_perimeter,ch_area,pconvexity,aconvexity
354,True,1880.1892014863124,1827.0608174717527,1880.189201486312,1827.0608174717524,748.222438151586,13187,604.3382872710607,21819.5,0.8076986955430291,0.604367652787644
355,True,1830.2357920193472,1209.4993954050785,1830.235792019347,1209.4993954050783,118.8111831820431,827,116.23144198874856,910.0,0.9782870507287024,0.9087912087912088
356,True,1853.8800220143094,1246.813979086406,1853.8800220143091,1246.813979086406,254.89444430272837,3634,234.25529519183905,4037.0,0.919028642749165,0.9001733960862026
357,True,1842.0688622754492,2843.5,1842.0688622754487,2836.9550898203597,76.2842712474619,334,78.3554399647877,353.49999999999994,1.0271506653135225,0.944837340876945
358,True,2014.6062734847246,1891.6560202581277,2014.6062734847249,1891.656020258128,1226.9818895055196,24484,849.3036200885695,40462.99999999999,0.6921892061755235,0.6050960136420929
359,True,2083.3199005643646,1735.5696586938993,2083.3199005643646,1735.5696586938996,2832.1719318127525,74420,1506.0194827827902,134996.5,0.5317542575244898,0.5512735515365214
360,True,2040.905439300559,-0.5,2040.905439300559,66.04199512684535,1550.0113267570423,27908,943.8784983973816,48393.0,0.6089494199840323,0.5766949765461947
361,True,1934.0369815668205,705.677534562212,1934.0369815668205,705.677534562212,479.6173157302029,8680,407.7033273865841,10851.5,0.8500596496727149,0.7998894162097406
362,True,1892.8518781006378,669.243798724309,1892.8518781006376,669.243798724309,220.61017305526644,2822,210.91824166105408,3096.4999999999995,0.9560676134740878,0.9113515259163572
363,True,2013.3286440947386,2843.5,2013.3286440947384,2775.913646479097,1125.317892581091,25164,826.4791585079603,38413.49999999999,0.7344406091440546,0.6550821976648835
364,True,1957.958827014218,811.8886996445497,1957.958827014218,811.8886996445498,657.6295090390227,13504,503.61048209681866,17994.0,0.7657966608474305,0.7504723796821162
365,True,1903.4022403258655,1488.732179226069,1903.4022403258653,1488.732179226069,126.2253967444162,982,124.14886050994107,1062.0,0.9835489823123336,0.9246704331450094
366,True,1897.757053291536,1909.010971786834,1897.757053291536,1909.0109717868336,102.76955262170048,638,101.81457811411148,710.0,0.9907076124861192,0.8985915492957747
367,True,1915.838528138528,1810.3761904761905,1915.838528138528,1810.3761904761905,244.59292911256333,2310,216.27972066758335,3080.499999999999,0.8842435529608053,0.7498782665151763
368,True,1979.5682354793012,2682.0385644577364,1979.5682354793007,2682.0385644577364,428.23253941935263,6353,367.5331881808521,7691.0,0.8582560976781359,0.8260304251722793
369,True,2109.54314377604,853.3569731744756,2109.54314377604,853.3569731744756,2283.731239591687,54724,1127.7195325551572,89061.49999999999,0.4938057127758976,0.6144518113887596
370,True,1953.1084366642353,2370.0534889375153,1953.1084366642356,2370.053488937516,470.0731598529186,8226,398.34547411029257,10162.5,0.8474116544644478,0.8094464944649447
371,True,1929.6973523421589,1773.7906313645622,1929.6973523421589,1773.7906313645622,207.68124086713192,2455,198.5973810211144,2705.5,0.9562605663944916,0.9074108297911662
372,True,1955.1448493027442,396.6030139451193,1955.144849302744,396.6030139451192,287.2497833620557,4446,267.5893685566408,5110.0,0.9315563807383817,0.8700587084148728
373,True,2083.5434210526314,1385.8619070825212,2083.5434210526314,1385.8619070825212,2128.476405595748,61560,1173.2481183394852,94139.49999999996,0.5512149983222859,0.6539231672146125
374,True,1983.7402284613268,2037.3821222130468,1983.7402284613268,2037.382122213047,697.2691193458119,14532,547.7550304818942,19592.5,0.7855719051430329,0.7417123899451321
375,True,2122.9985151123246,520.0936916223595,2122.9985151123246,520.0936916223595,1680.829652614022,41754,1021.3292434752692,67928.00000000001,0.6076339990116788,0.6146802496761276
376,True,1958.7047970479703,1824.9474169741698,1958.7047970479705,1824.9474169741695,415.4751801064719,5420,356.8882558320353,7430.5,0.8589881488000732,0.7294260144001077
377,True,2109.363886925795,2494.7216254416962,2109.363886925795,2494.721625441696,1356.3788591251896,28300,834.9616121556942,44613.50000000001,0.6155814111510196,0.6343371401033319
378,True,1978.7275426874535,2843.5,1978.7275426874537,2830.1210096510763,278.19595949289334,2694,270.5508514190802,3086.5,0.9725189823470156,0.8728333063340353
379,True,2206.9408983069998,695.5914365487968,2206.940898307,695.5914365487969,2546.176982446636,61961,1338.0483999656503,111732.5,0.5255127232671438,0.5545476920323094
380,True,1984.3419689119173,1642.4214162348876,1984.341968911917,1642.4214162348878,308.07821048680194,5211,290.96929214834654,5616.500000000001,0.9444656656781368,0.9278020119291372
381,True,1969.277401894452,2647.684709066306,1969.277401894452,2647.684709066306,111.84062043356596,739,110.82547915394927,782.5,0.9909233221732736,0.9444089456869008
382,True,2138.167471189389,2278.929854316156,2138.167471189389,2278.929854316156,1250.8519471906084,22995,857.5131295897057,38000.49999999999,0.6855432663439228,0.605123616794516
383,True,1993.7592942659107,2441.652804032766,1993.7592942659105,2441.652804032766,257.6223663640862,3174,230.63539118496217,3718.5,0.8952459929624879,0.8535699878983461
384,True,2001.752276585893,326.1812008025929,2001.7522765858928,326.18120080259297,434.51681066681454,6479,376.6651783419878,8035.999999999999,0.8668598523586535,0.8062468889995024
385,True,2049.6969832402233,2681.303910614525,2049.6969832402237,2681.303910614525,759.0681092190353,13425,562.6520568497612,19379.500000000007,0.741240542207265,0.6927423308134882
386,True,2080.9447355883754,2329.9030831007963,2080.944735588376,2329.9030831007963,765.1513703397204,14693,553.030611362826,20147.5,0.7227728169882063,0.7292716217893039
387,True,2060.1228516868237,2420.1429480767483,2060.122851686824,2420.1429480767483,665.38181771802,10997,514.062698929124,16019.499999999998,0.7725830271289094,0.6864758575486127
388,True,2239.125447249624,1058.546346764755,2239.125447249624,1058.546346764755,2508.2480502585013,59810,1308.8331901159495,101474.0,0.5218117043810961,0.5894120661450224
389,True,2020.070930232558,2421.670930232558,2020.070930232558,2421.670930232558,115.98275605729692,860,114.26122609462966,929.5,0.9851570179810456,0.92522861753631
390,True,2048.2029116207163,1988.0349136820405,2048.2029116207163,1988.0349136820407,463.7300141024109,7762,384.7818233917504,9566.0,0.8297539768620077,0.8114154296466652
391,True,2059.7829357798164,376.94128440366967,2059.7829357798164,376.9412844036697,366.04877323527904,5450,308.9267009357024,6697.000000000002,0.8439495595226015,0.8137972226370014
392,True,2042.057772816076,1907.5506558749653,2042.057772816076,1907.550655874965,261.76450198781714,3583,237.4338811602768,4082.500000000001,0.9070514884838252,0.8776484996938149
393,True,2045.3813008130082,309.3910569105691,2045.381300813008,309.3910569105691,135.1543289325507,1230,132.7890914656449,1286.5000000000002,0.9824997283802416,0.9560823940924988
394,True,2189.3659696632103,2086.4295140971803,2189.3659696632103,2086.4295140971803,1767.209378290989,46676,1068.1478402172622,74598.49999999999,0.6044263081323354,0.6256962271359345
395,True,2132.288777698356,190.51536812008578,2132.288777698356,190.51536812008575,768.5239533417509,15389,542.0758987704484,21077.0,0.705346783809867,0.7301323717796652
396,True,2182.2854557614382,1621.1342696408196,2182.2854557614382,1621.13426964082,1886.8956697920044,50838,1109.4058804442243,77583.0,0.5879529526751821,0.6552724179266076
397,True,2067.8079470198677,2843.5,2067.807947019868,2841.443708609272,79.65685424949238,151,82.75386836909973,167.5,1.0388794429404309,0.9014925373134328
398,True,2240.9554460956197,399.1798853453554,2240.95544609562,399.1798853453554,1617.8174593052022,35934,1024.8218904573534,63475.5,0.6334595318914903,0.5661081834723634
